State,EV_Registration,Population,Licensed_Drivers,EVPer10K,Charge_Ports,CP
California,256800,39512223,27039400,95,31886,1.24
Texas,22600,28995881,17370383,13,4581,2.03
Florida,25200,21477737,15368695,16,4937,1.96
New York,16600,19453561,12194360,14,5704,3.44
Pennsylvania,7990,12801989,8991370,9,2070,2.59
Illinois,12400,12671821,8714788,14,2106,1.7
Ohio,6510,11689100,8032665,8,1621,2.49
Georgia,15300,10617423,7168733,21,3414,2.23
North Carolina,7320,10488084,7509231,10,1954,2.67
Michigan,4210,9986857,7153645,6,1400,3.33
New Jersey,12100,8882190,6342876,19,1412,1.17
Virginia,8370,8535519,5929031,14,2227,2.66
Washington,28400,7614893,5909967,48,3437,1.21
Arizona,15000,7278717,5422429,28,1746,1.16
Massachusetts,9760,6949503,4935176,20,3382,3.47
Tennessee,3980,6833174,5284970,8,1301,3.27
Indiana,3030,6732219,4589405,7,716,2.36
Missouri,3450,6137428,4272960,8,1977,5.73
Maryland,8080,6045680,4407973,18,2522,3.12
Wisconsin,3680,5822434,4288171,9,793,2.15
Colorado,11700,5758736,4244713,28,3012,2.57
Minnesota,4740,5639632,3391057,14,1163,2.45
South Carolina,1950,5148714,3846069,5,681,3.49
Alabama,1450,4903185,3999057,4,427,2.94
Louisiana,1110,4648794,3425435,3,325,2.93
Kentucky,1240,4467673,3032530,4,369,2.98
Oregon,12400,4217737,2930702,42,1941,1.57
Oklahoma,3290,3956971,2504253,13,670,2.04
Connecticut,4450,3565287,2605612,17,1118,2.51
Utah,5220,3205958,2030644,26,1576,3.02
Iowa,1090,3155070,2260271,5,455,4.17
Nevada,4810,3080156,1983453,24,1121,2.33
Arkansas,520,3017825,2145334,2,330,6.35
Mississippi,390,2976149,2058036,2,266,6.82
Kansas,1610,2913314,2149430,7,883,5.48
New Mexico,1260,2096829,1458433,9,360,2.86
Nebraska,850,1934408,1420317,6,301,3.54
West Virginia,230,1792147,1136775,2,243,10.57
Idaho,1080,1787065,1252535,9,238,2.2
Hawaii,6590,1415872,948417,69,728,1.1
New Hampshire,1120,1359711,1161665,10,271,2.42
Maine,750,1344212,1040582,7,493,6.57
Montana,500,1068778,806204,6,187,3.74
Rhode Island,600,1059361,756966,8,469,7.82
Delaware,720,973764,786504,9,193,2.68
South Dakota,260,884659,638428,4,131,5.04
North Dakota,170,762062,561333,3,108,6.35
Alaska,530,731545,536033,10,67,1.26
District Of Columbia,970,705749,527731,18,610,6.29
Vermont,1060,623989,564892,19,768,7.25
Wyoming,170,578759,419256,4,166,9.76
